,CASE_SUBMITTED_DAY,CASE_SUBMITTED_MONTH,CASE_SUBMITTED_YEAR,DECISION_DAY,DECISION_MONTH,DECISION_YEAR,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_STATE,EMPLOYER_COUNTRY,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H-1B_DEPENDENT,WILLFUL_VIOLATOR,WORKSITE_STATE,WORKSITE_POSTAL_CODE,CASE_STATUS
15,29,11,2016,5,12,2016,H1B,CAPITAL ONE SERVICES II LLC,VA,UNITED STATES OF AMERICA,ANALYSTS,522110.0,1,Y,98987.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,106600.0,138300.0,Year,N,N,CA,94103,CERTIFIED
16,20,3,2017,27,3,2017,H1B,EPSOFT TECHNOLOGIES LLC,TX,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,46301.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,60000.0,0.0,Year,N,N,TX,75234,CERTIFIED
17,24,2,2017,27,2,2017,H1B,TECH MAHINDRA AMERICASINC,TX,UNITED STATES OF AMERICA,HEALTHCARE,541511.0,1,Y,65104.0,Year,OES,2016.0,NONE,65104.0,0.0,Year,Y,N,TN,37067,DENIED
19,11,1,2017,13,1,2017,H1B,MEMORIAL PHYSICIANS PLLC,WA,UNITED STATES OF AMERICA,MULTIMEDIA ARTISTS AND ANIMATORS,622110.0,1,Y,112902.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,112902.0,205000.0,Year,N,N,WA,98902,DENIED
20,15,3,2017,11,4,2017,H1B,APPTAD INC,AZ,UNITED STATES OF AMERICA,ANALYSTS,54151.0,1,Y,74402.0,Year,Other,2017.0,OFLC ONLINE DATA CENTER,74402.0,0.0,Year,Y,N,VA,23235,CERTIFIEDWITHDRAWN
21,10,1,2017,7,2,2017,H1B,CERNER CORPORATION,MO,UNITED STATES OF AMERICA,ACTUARIES,541512.0,1,Y,66997.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,74400.0,0.0,Year,N,N,MO,64117,CERTIFIEDWITHDRAWN
22,18,11,2016,25,11,2016,E3 Australian,BANK OF AMERICA NA,NY,UNITED STATES OF AMERICA,ANALYSTS,522110.0,1,Y,136219.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,150000.0,0.0,Year,,,NY,10020,CERTIFIED
23,18,5,2017,23,5,2017,E3 Australian,SKYWEST AIRLINES INC,UT,UNITED STATES OF AMERICA,PUBLIC RELATIONS,481111.0,1,Y,36.5,Hour,CBA,2016.0,NONE,36.5,0.0,Hour,,,UT,84790,DENIED
24,15,2,2017,22,2,2017,H1B,BARON and BARON LLP,NY,UNITED STATES OF AMERICA,ANALYSTS,541211.0,1,Y,26.81,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,26.81,0.0,Hour,N,N,NY,10016,DENIED
25,23,2,2017,1,3,2017,H1B,CRC EVANS PIPELINE INTERNATIONAL INC,TX,UNITED STATES OF AMERICA,CHIEF EXECUTIVES,237120.0,1,Y,57096.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,57500.0,70000.0,Year,N,N,OK,74116,CERTIFIED
26,21,11,2016,28,11,2016,H1B,WHARTON INDEPENDENT SCHOOL DISTRICT,TX,UNITED STATES OF AMERICA,MANAGERS,611110.0,1,Y,49990.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,49990.0,0.0,Year,N,N,TX,77488,CERTIFIED
27,25,4,2014,17,1,2017,H1B,YALE UNIVERSITY,CT,UNITED STATES OF AMERICA,ACCOUNTANTS,611310.0,1,Y,37440.0,Year,OES,2013.0,OFLC ONLINE DATA CENTER,48300.0,0.0,Year,N,N,CT,6510,CERTIFIEDWITHDRAWN
28,15,12,2015,1,2,2017,E3 Australian,UNISPACE INC,MA,UNITED STATES OF AMERICA,ACCOUNTANTS,54141.0,1,Y,80808.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,110000.0,0.0,Year,,,NY,10017,CERTIFIEDWITHDRAWN
29,14,3,2016,9,3,2017,H1B,KOGUMA YOUCHIEN INC,CA,UNITED STATES OF AMERICA,ANALYSTS,6111.0,1,N,20.7,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,20.7,0.0,Hour,N,N,CA,92653,CERTIFIEDWITHDRAWN
31,16,12,2016,6,1,2017,H1B,DROISYS INC,FL,UNITED STATES OF AMERICA,ANALYSTS,54151.0,1,Y,55016.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,75000.0,90000.0,Year,Y,N,CA,33850,CERTIFIEDWITHDRAWN
32,4,4,2017,12,4,2017,H1B,CACHEMATRIX HOLDINGS LLC,CO,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,88587.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,88587.0,104332.0,Year,N,N,CO,80206,CERTIFIEDWITHDRAWN
33,8,2,2017,14,2,2017,E3 Australian,NORDSTROM INC,WA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,452111.0,1,Y,69514.0,Year,Other,2017.0,OFLC ONLINE DATA CENTER,105000.0,0.0,Year,,,WA,98101,CERTIFIED
34,6,3,2017,8,3,2017,H1B,CPSG PARTNERS LLC,TX,UNITED STATES OF AMERICA,MARKETING,541511.0,1,Y,55931.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,50000.0,70000.0,Year,N,N,TX,75244,DENIED
36,2,12,2016,8,12,2016,H1B,ISITE TECHNOLOGIES INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541519.0,1,Y,70221.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,70221.0,0.0,Year,Y,N,NY,10003,CERTIFIED
37,14,10,2016,20,10,2016,H1B,CYBYTE INC,PA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,70221.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,74500.0,0.0,Year,Y,N,NY,10285,CERTIFIED
38,26,2,2017,5,6,2017,H1B,WIPRO LIMITED,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,5,Y,95306.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,95306.0,0.0,Year,Y,N,CA,94085,CERTIFIEDWITHDRAWN
39,24,1,2016,25,1,2017,H1B,BLACKROCK FINANCIAL MANAGEMENT INC,NY,UNITED STATES OF AMERICA,ANALYSTS,523920.0,1,Y,68411.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,68411.0,85000.0,Year,N,N,WA,98101,CERTIFIEDWITHDRAWN
41,30,8,2016,24,5,2017,H1B,ANDA INC,NJ,UNITED STATES OF AMERICA,ANALYSTS,325412.0,1,Y,65749.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,65749.0,92000.0,Year,N,N,FL,33331,CERTIFIEDWITHDRAWN
42,13,2,2017,17,2,2017,H1B,ACCENTURE LLP,IL,UNITED STATES OF AMERICA,ANALYSTS,5416.0,1,Y,88858.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,88858.0,0.0,Year,N,N,MA,1752,CERTIFIED
43,7,2,2017,10,2,2017,H1B,TRINITY UNIVERSITY,TX,UNITED STATES OF AMERICA,MARKETING,611310.0,1,Y,108343.0,Year,Other,2015.0,CUPA SALARIES IN HIGHER ED,125000.0,0.0,Year,N,N,TX,78212,DENIED
44,18,3,2017,23,3,2017,H1B,NAMITUS TECHNOLOGIES INC,TX,UNITED STATES OF AMERICA,DOCTORS,541511.0,1,Y,46301.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,60600.0,0.0,Year,Y,N,TX,75035,CERTIFIED
45,14,3,2017,20,3,2017,H1B,CAPRUS IT INC,TX,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,53206.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,65000.0,0.0,Year,Y,N,TX,78704,CERTIFIED
46,28,3,2017,3,4,2017,H1B,THE GOMBOS COMPANY LLC,CA,UNITED STATES OF AMERICA,GRAPHIC DESIGNERS,311119.0,1,Y,57824.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,57824.0,0.0,Year,N,N,CA,95695,DENIED
47,23,3,2017,28,3,2017,H1B,NANTEZ INC,VA,UNITED STATES OF AMERICA,REAL ESTATE,541511.0,1,Y,64730.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,71000.0,0.0,Year,Y,N,MD,21093,DENIED
49,2,3,2017,8,3,2017,H1B,SURYA CARPET INC,GA,UNITED STATES OF AMERICA,ENGINEERS,423220.0,1,Y,47154.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,47154.0,0.0,Year,N,N,GA,30184,CERTIFIED
50,18,2,2016,21,12,2016,H1B,EVERGLADES DRESSAGE LLC,FL,UNITED STATES OF AMERICA,ANALYSTS,112920.0,1,Y,44408.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,44500.0,55000.0,Year,N,N,FL,33414,CERTIFIEDWITHDRAWN
52,12,6,2017,19,6,2017,E3 Australian,ARTEMIS GROUP LLC,VA,UNITED STATES OF AMERICA,ANALYSTS,541940.0,1,Y,35000.0,Year,Other,2017.0,OFLC ONLINE DATA CENTER,35000.0,0.0,Year,,,VA,20136,DENIED
53,19,3,2017,23,3,2017,H1B,SOFTWARE PROGRAMMING GROUP LLC,NJ,UNITED STATES OF AMERICA,MARKETING,541511.0,1,Y,55910.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,56000.0,0.0,Year,Y,N,NJ,8837,CERTIFIED
55,23,3,2017,29,3,2017,H1B,RELIABLE SOFTWARE RESOURCES INC,MI,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,54151.0,1,Y,54226.0,Year,Other,2017.0,OFLC ONLINE DATA CENTER,60000.0,0.0,Year,Y,N,OH,44143,CERTIFIED
56,28,1,2016,21,10,2016,H1B,BLACKROCK FINANCIAL MANAGEMENT INC,NY,UNITED STATES OF AMERICA,ANALYSTS,523920.0,1,Y,65187.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,65187.0,70000.0,Year,N,N,NY,10022,CERTIFIEDWITHDRAWN
57,8,3,2017,14,3,2017,H1B,EXLSERVICECOM LLC,NY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541611.0,5,Y,86900.0,Year,Other,2016.0,US MERCER BENCHMARK DATABASE SURVEY,86900.0,111900.0,Year,N,N,NY,7302,CERTIFIED
59,27,3,2017,31,3,2017,H1B,TRUEWAY INC,VA,UNITED STATES OF AMERICA,LAB TECHNICIANS,423990.0,1,Y,85592.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,85592.0,0.0,Year,N,N,VA,22203,CERTIFIED
60,27,9,2016,3,10,2016,H1B,NORTH POINT IT CORP,TX,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,52187.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,70000.0,0.0,Year,Y,N,PA,18101,CERTIFIED
62,13,3,2017,17,3,2017,H1B,AMERICAN INFOTECH SOLUTIONS INC,NY,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,54891.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,64000.0,0.0,Year,N,N,NY,11040,CERTIFIED
64,28,11,2016,2,12,2016,H1B,IBM INDIA PRIVATE LIMITED,NC,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,54151.0,1,Y,88338.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,94692.0,0.0,Year,N,N,IL,60085,CERTIFIED
67,26,10,2016,1,11,2016,H1B,INOVANT LLC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,522320.0,1,Y,127046.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,154170.0,221600.0,Year,N,N,CA,94404,CERTIFIED
68,7,7,2015,28,10,2016,H1B,W3GLOBAL INC,TX,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,65042.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,85000.0,0.0,Year,Y,N,TX,75063,CERTIFIEDWITHDRAWN
69,14,3,2017,20,3,2017,H1B,QAD INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,511210.0,1,Y,121826.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,125000.0,0.0,Year,N,N,TX,77007,CERTIFIED
70,22,2,2017,28,2,2017,H1B,INFOSYS LIMITED,TX,UNITED STATES OF AMERICA,MATHEMATICIANS AND STATISTICIANS,541511.0,1,Y,74006.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,74565.0,0.0,Year,Y,N,IL,60603,CERTIFIED
71,17,3,2017,23,3,2017,H1B,TECHNOSOFT CORPORATION,MI,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,2,Y,75941.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,76000.0,93000.0,Year,Y,N,CA,91367,DENIED
72,12,10,2016,17,10,2016,H1B,BIOTIE THERAPIES INC,CA,UNITED STATES OF AMERICA,ENGINEERS,541711.0,1,Y,83658.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,120000.0,0.0,Year,N,N,CA,94080,DENIED
73,23,2,2015,7,6,2017,H1B,FVG INC,ME,UNITED STATES OF AMERICA,ANALYSTS,112519.0,1,Y,61235.0,Year,Other,2014.0,ONLINE WAGE LIBRARY,65000.0,0.0,Year,N,N,ME,4469,CERTIFIEDWITHDRAWN
76,16,11,2016,18,11,2016,H1B,AMAZON WEB SERVICES INC,WA,UNITED STATES OF AMERICA,MARKETING,518210.0,1,Y,83678.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,80005.0,95000.0,Year,N,N,WA,98101,DENIED
77,7,3,2017,13,3,2017,H1B,ERP ANALYSTS INC,OH,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541512.0,1,Y,56638.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,60000.0,0.0,Year,Y,N,OH,43017,CERTIFIED
78,31,7,2015,1,2,2017,H1B,NORTH DAKOTA STATE UNIVERSITY,ND,UNITED STATES OF AMERICA,ACCOUNTANTS,611310.0,1,Y,39520.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,39520.0,43000.0,Year,N,N,ND,58102,CERTIFIEDWITHDRAWN
79,13,2,2017,17,2,2017,H1B,SYNTEL CONSULTING INC,MI,UNITED STATES OF AMERICA,ENGINEERS,541511.0,1,Y,63710.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,65000.0,0.0,Year,Y,N,MA,2169,CERTIFIED
82,13,10,2016,19,10,2016,H1B,REAL SOFT INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,71781.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,73000.0,0.0,Year,N,N,NJ,8852,CERTIFIED
83,25,1,2017,31,1,2017,H1B,LINKEDIN CORPORATION,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,518112.0,25,Y,105010.0,Year,Other,2016.0,RADFORD GLOBAL SURVEY,105010.0,157500.0,Year,N,N,CA,94085,CERTIFIED
84,29,2,2016,11,4,2017,H1B,CLEARLITE INC,NJ,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,63877.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,109000.0,0.0,Year,Y,N,NJ,8854,CERTIFIEDWITHDRAWN
85,11,5,2017,17,5,2017,H1B,SOLARIUS DEVELOPMENT INC,CA,UNITED STATES OF AMERICA,EDUCATION,5419.0,1,Y,108805.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,108805.0,0.0,Year,N,N,CA,95131,CERTIFIED
86,9,1,2017,13,1,2017,H1B,PRICEWATERHOUSECOOPERS LLP,FL,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541611.0,1,Y,64813.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,65500.0,0.0,Year,N,N,NY,10017,CERTIFIED
87,26,5,2015,13,1,2017,H1B,SANFORD CLINIC NORTH,ND,UNITED STATES OF AMERICA,ANALYSTS,622110.0,1,Y,139548.0,Year,Other,2014.0,HOSPITAL AND HEALTHCARE COMPENSATION SERVICE PHYSICIAN SALARY SURVEY,139548.0,0.0,Year,N,N,ND,58122,CERTIFIEDWITHDRAWN
88,7,11,2016,14,11,2016,H1B,T MOBILE USA INC,WA,UNITED STATES OF AMERICA,IT MANAGERS,517212.0,1,Y,85509.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,94395.0,0.0,Year,N,N,CA,91761,CERTIFIED
90,22,12,2016,29,12,2016,H1B,KATEEVA INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,334413.0,1,Y,76670.0,Year,Other,2015.0,BUREAU OF LABOR STATISTICS,90000.0,0.0,Year,N,N,CA,94560,CERTIFIED
91,24,3,2017,30,3,2017,H1B,MICROSOFT CORPORATION,WA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,51121.0,1,Y,122533.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,155594.0,0.0,Year,N,N,WA,98052,CERTIFIED
92,16,5,2017,19,5,2017,H1B,TATA CONSULTANCY SERVICES LIMITED,MD,UNITED STATES OF AMERICA,SCIENTIST,541511.0,1,Y,51230.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,62500.0,95800.0,Year,Y,N,TX,78245,DENIED
94,2,6,2017,8,6,2017,H1B,INFOSYS LIMITED,TX,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,54246.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,63336.0,0.0,Year,Y,N,TX,78759,CERTIFIED
95,20,10,2016,27,1,2017,H1B,KRYPTO IT SOLUTIONS INC,NJ,UNITED STATES OF AMERICA,ANALYSTS,541512.0,1,Y,41870.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,60000.0,0.0,Year,Y,N,NJ,92612,CERTIFIEDWITHDRAWN
96,20,3,2017,24,3,2017,E3 Australian,INSOMNIAC GAMES INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,93163.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,98695.0,0.0,Year,N,N,CA,91504,CERTIFIED
97,13,2,2015,11,10,2016,H1B,HAWAIIAN SOLAR and PLUMBING INC,HI,UNITED STATES OF AMERICA,WRITERS EDITORS AND AUTHORS,238220.0,1,Y,94474.0,Year,OES,2014.0,OFLC ONLINE DATA CENTER,148000.0,0.0,Year,N,N,HI,96740,CERTIFIEDWITHDRAWN
98,27,2,2017,1,3,2017,H1B,SYNECTIKS INC,NJ,UNITED STATES OF AMERICA,SCIENTIST,541512.0,1,Y,118248.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,110000.0,0.0,Year,Y,N,NJ,8540,DENIED
99,13,6,2017,19,6,2017,H1B,PROGRESS SOFTWARE CORPORATION,MA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,511210.0,1,Y,63100.0,Year,Other,2016.0,MERCER BENCHMARK DATABASE SURVEY,68380.43,0.0,Year,N,N,NC,27560,CERTIFIED
100,22,11,2016,29,11,2016,H1B,VEEJAY ASSOCIATES INC,NY,UNITED STATES OF AMERICA,IT MANAGERS,541511.0,1,Y,84198.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,90000.0,0.0,Year,Y,N,NJ,7310,CERTIFIED
101,14,3,2017,30,6,2017,H1B,6WIND USA INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,65062.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,65062.0,0.0,Year,N,N,CA,95054,CERTIFIEDWITHDRAWN
102,10,3,2016,16,5,2017,H1B,CVS RX SERVICES INC,RI,UNITED STATES OF AMERICA,ANALYSTS,446110.0,1,N,52.41,Hour,OES,2015.0,OFLC ONLINE DATA CENTER,55.27,73.7,Hour,N,N,NJ,7834,CERTIFIEDWITHDRAWN
103,16,6,2017,22,6,2017,H1B,GENERATION NEXT FERTILITY PLLC,NY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,62111.0,1,Y,62421.0,Year,Other,2017.0,OFLC ONLINE DATA CENTER,75000.0,125000.0,Year,N,N,NY,10021,CERTIFIED
104,15,2,2017,16,2,2017,H1B,GUZIK TECHNICAL ENTERPRISES,CA,UNITED STATES OF AMERICA,DOCTORS,541710.0,4,Y,124675.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,124675.0,0.0,Year,N,N,CA,94043,DENIED
105,30,11,2016,9,6,2017,H1B,THE UNIVERSITY OF ARIZONA,AZ,UNITED STATES OF AMERICA,ANALYSTS,611310.0,1,Y,41434.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,53000.0,0.0,Year,N,N,AZ,85721,CERTIFIEDWITHDRAWN
106,16,3,2017,20,3,2017,H1B,US RADIOLOGY ON CALL LLC,CA,UNITED STATES OF AMERICA,DOCTORS,621512.0,1,Y,96408.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,110000.0,0.0,Year,N,N,CA,92618,DENIED
108,9,3,2017,15,3,2017,H1B,KOGENTIX INC,IL,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,71843.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,95000.0,0.0,Year,N,N,IL,60173,CERTIFIED
109,15,4,2016,14,2,2017,H1B,BETH ISRAEL DEACONESS MEDICAL CENTER,MA,UNITED STATES OF AMERICA,ANALYSTS,622110.0,1,Y,44512.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,44556.0,0.0,Year,N,N,MA,2215,CERTIFIEDWITHDRAWN
110,29,9,2016,5,10,2016,H1B,CAPGEMINI AMERICA INC,IL,UNITED STATES OF AMERICA,CHIEF EXECUTIVES,5416.0,3,Y,70782.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,76800.0,0.0,Year,Y,N,IL,60523,CERTIFIED
111,9,9,2015,7,12,2016,H1B,HOWARD HUGHES MEDICAL INSTITUTE,MD,UNITED STATES OF AMERICA,ANALYSTS,541710.0,1,Y,49400.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,50000.0,0.0,Year,N,N,CA,90095,CERTIFIEDWITHDRAWN
112,8,3,2016,9,3,2017,H1B,LORVEN BPM TECHNOLOGIES LLC,IL,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,49566.0,Year,Other,2015.0,OFLC ONLINE DATA CENTER,60000.0,0.0,Year,N,N,LA,70809,CERTIFIEDWITHDRAWN
114,2,3,2017,8,3,2017,H1B,CONSULTADD INC,TX,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,64813.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,65500.0,0.0,Year,N,N,NY,10020,CERTIFIED
115,23,3,2017,30,3,2017,H1B,SEA MAR COMMUNITY HEALTH CENTERS,WA,UNITED STATES OF AMERICA,ANALYSTS,6211.0,1,Y,199597.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,218000.0,0.0,Year,N,N,WA,98405,DENIED
116,10,4,2017,13,4,2017,H1B,SKML LLC,IL,UNITED STATES OF AMERICA,SCIENTIST,541511.0,1,Y,73944.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,73944.0,115000.0,Year,N,N,WI,53208,DENIED
117,6,1,2017,12,1,2017,H1B,CUMMINS INC,TN,UNITED STATES OF AMERICA,ANALYSTS,3336.0,3,Y,74277.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,71469.0,104400.0,Year,N,N,IN,47201,DENIED
118,27,2,2017,28,2,2017,H1B,TIMEDOC INC,IL,UNITED STATES OF AMERICA,MATHEMATICIANS AND STATISTICIANS,541511.0,1,Y,51418.0,Year,OES,2016.0,NONE,62000.0,0.0,Year,N,N,IL,60642,DENIED
