,CASE_SUBMITTED_DAY,CASE_SUBMITTED_MONTH,CASE_SUBMITTED_YEAR,DECISION_DAY,DECISION_MONTH,DECISION_YEAR,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_STATE,EMPLOYER_COUNTRY,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H-1B_DEPENDENT,WILLFUL_VIOLATOR,WORKSITE_STATE,WORKSITE_POSTAL_CODE,CASE_STATUS
15,22,3,2017,28,3,2017,H1B,SASKEN COMMUNICATION TECHNOLOGIES LTD,TX,UNITED STATES OF AMERICA,WRITERS EDITORS AND AUTHORS,541712.0,1,Y,64251.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,75000.0,0.0,Year,Y,N,MI,48377,CERTIFIED
16,23,3,2017,29,3,2017,H1B,AVAAZ FOUNDATION,NY,UNITED STATES OF AMERICA,ANALYSTS,813319.0,1,Y,74818.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,76000.0,0.0,Year,N,N,NY,10003,CERTIFIED
17,8,3,2017,14,3,2017,H1B,AMENSYS INC,TX,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,68827.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,69000.0,0.0,Year,Y,N,TX,75057,CERTIFIED
18,10,5,2017,16,5,2017,H1B,ALBERT EINSTEIN COLLEGE OF MEDICINE INC,NY,UNITED STATES OF AMERICA,ANALYSTS,611310.0,1,Y,38189.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,48216.0,0.0,Year,N,N,NY,10461,CERTIFIED
19,12,5,2017,18,5,2017,H1B,QAD INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,511210.0,1,Y,73237.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,89320.0,102718.0,Year,N,N,NJ,8054,CERTIFIED
20,11,11,2016,17,11,2016,H1B,ALTIUS INSTITUTE FOR BIOMEDICAL SCIENCES,WA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541712.0,1,Y,62005.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,75000.0,0.0,Year,N,N,WA,98121,CERTIFIED
21,21,11,2016,28,11,2016,H1B,IBM INDIA PRIVATE LIMITED,NC,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,54151.0,1,Y,75795.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,75795.0,0.0,Year,N,N,NJ,7748,CERTIFIED
22,10,3,2017,16,3,2017,H1B,DEVISE SOFT INC,GA,UNITED STATES OF AMERICA,ARCHITECTURE,541511.0,1,Y,58510.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,75000.0,0.0,Year,N,N,GA,30076,CERTIFIED
23,30,3,2017,5,4,2017,H1B,INFOSYS LIMITED,TX,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,67434.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,71486.0,0.0,Year,Y,N,GA,30319,CERTIFIED
24,20,3,2017,24,3,2017,H1B,IBM CORPORATION,NC,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,54151.0,1,Y,88587.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,88587.0,112272.0,Year,N,N,CO,80237,CERTIFIED
25,8,6,2017,14,6,2017,H1B,MONTAGE CONSIGNMENTS INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,65354.0,Year,Other,2017.0,OFLC ONLINE DATA CENTER,80000.0,0.0,Year,Y,N,MA,1653,CERTIFIED
26,5,6,2017,11,6,2017,H1B,ESENCIA TECHNOLOGIES INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,131955.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,150000.0,0.0,Year,Y,N,CA,95054,CERTIFIED
27,10,5,2017,16,5,2017,H1B,EPAM SYSTEMS INC,PA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,98987.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,98987.0,110000.0,Year,N,N,CA,94105,CERTIFIED
28,28,2,2017,6,3,2017,H1B,MPHASIS CORPORATION,NY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,20,Y,82826.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,82826.0,0.0,Year,Y,N,TX,77070,CERTIFIED
29,6,1,2017,12,1,2017,H1B,EPAM SYSTEMS INC,PA,UNITED STATES OF AMERICA,BUSINESS OPERATIONS SPECIALIST,541511.0,1,Y,74797.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,80000.0,95000.0,Year,N,N,CA,92612,CERTIFIED
30,15,2,2017,22,2,2017,H1B,BANK OF AMERICA NA,NY,UNITED STATES OF AMERICA,ANALYSTS,522110.0,1,Y,90813.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,115000.0,0.0,Year,N,N,NY,10038,CERTIFIED
31,9,5,2017,15,5,2017,H1B,THE PHYSICIAN NETWORK,NE,UNITED STATES OF AMERICA,DOCTORS,621111.0,1,Y,173909.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,260000.0,0.0,Year,N,N,NE,68803,CERTIFIED
32,20,2,2017,24,2,2017,H1B,SADA SYSTEMS INC,CA,UNITED STATES OF AMERICA,HUMAN RESOURCES,541511.0,1,Y,43722.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,50000.0,0.0,Year,N,N,CA,91601,CERTIFIED
33,17,4,2017,21,4,2017,H1B,GENESIS ELDERCARE REHABILITATION SERVICES LLC,PA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,621340.0,1,Y,38.15,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,38.15,52.75,Hour,N,N,CA,94578,CERTIFIED
34,13,1,2017,20,1,2017,H1B,SYNTEL CONSULTING INC,MI,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,63710.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,65000.0,0.0,Year,Y,N,MA,2171,CERTIFIED
35,20,12,2016,27,12,2016,H1B,CGI TECHNOLOGIES AND SOLUTIONS INC,VA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541512.0,1,Y,55661.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,61200.0,0.0,Year,N,N,AZ,85283,CERTIFIED
36,15,2,2017,22,2,2017,H1B,WIPRO LIMITED,NJ,UNITED STATES OF AMERICA,MANAGERS,541511.0,2,Y,96325.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,96325.0,0.0,Year,Y,N,CA,94085,CERTIFIED
37,21,3,2017,27,3,2017,H1B,EDISQUARE INC,FL,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,64501.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,65000.0,0.0,Year,N,N,MN,55144,CERTIFIED
38,18,5,2017,24,5,2017,H1B,RENAISSANCE ACADEMY,UT,UNITED STATES OF AMERICA,DOCTORS,92311.0,1,Y,44800.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,45000.0,0.0,Year,N,N,UT,84043,CERTIFIED
39,1,3,2017,7,3,2017,H1B,TECH MAHINDRA AMERICASINC,TX,UNITED STATES OF AMERICA,ENGINEERS,541511.0,1,Y,95306.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,95306.0,0.0,Year,Y,N,CA,94089,CERTIFIED
40,7,3,2017,13,3,2017,H1B,AVVENTIS INC,NJ,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,60258.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,71000.0,0.0,Year,Y,N,AZ,85281,CERTIFIED
41,3,3,2017,9,3,2017,H1B,REMOTE TIGER INC,MD,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,65146.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,66000.0,0.0,Year,Y,N,VA,23229,CERTIFIED
42,24,3,2017,30,3,2017,H1B,GOODLAND REGIONAL MEDICAL CENTER,KS,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,622110.0,3,Y,22.58,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,23.0,24.0,Hour,N,N,KS,67753,CERTIFIED
43,7,12,2016,13,12,2016,H1B,THE OHIO STATE UNIVERSITY,OH,UNITED STATES OF AMERICA,IT MANAGERS,611310.0,1,Y,68783.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,204000.0,0.0,Year,N,N,OH,43210,CERTIFIED
44,23,3,2017,29,3,2017,H1B,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,CT,UNITED STATES OF AMERICA,DOCTORS,622110.0,1,Y,54119.0,Year,Other,2016.0,HOSPITAL AND HEALTHCARE COMPENSATION SERVICE PHYSICIAN SALARY SURVEY,55700.0,0.0,Year,N,N,CT,6105,CERTIFIED
45,5,12,2016,9,12,2016,H1B,IAN CORPORATION,GU,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,236220.0,1,Y,66747.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,72000.0,72000.0,Year,N,N,GU,96913,CERTIFIED
46,9,3,2017,15,3,2017,H1B,HENDERSON MACHINE INC,FL,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541330.0,1,Y,49317.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,49317.0,0.0,Year,N,N,FL,33442,CERTIFIED
47,13,3,2017,17,3,2017,H1B,MARLABS INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,62962.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,63000.0,0.0,Year,Y,N,NJ,8854,CERTIFIED
48,13,3,2017,17,3,2017,H1B,TATA CONSULTANCY SERVICES LIMITED,MD,UNITED STATES OF AMERICA,FINANCE,541511.0,1,Y,63024.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,63024.0,94500.0,Year,Y,N,FL,34677,CERTIFIED
49,23,2,2017,1,3,2017,H1B,KOHN PEDERSON FOX ASSOCIATES PC,NY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541310.0,1,Y,57096.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,63000.0,0.0,Year,N,N,NY,10036,CERTIFIED
50,18,4,2017,24,4,2017,H1B,ACCENTURE LLP,IL,UNITED STATES OF AMERICA,ANALYSTS,5416.0,1,Y,107744.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,107744.0,0.0,Year,N,N,TX,77002,CERTIFIED
51,21,3,2017,27,3,2017,H1B,INFO KEYS INC,TX,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,46301.0,Year,Other,2016.0,ONLINE WAGE LIBRARY,60000.0,0.0,Year,Y,N,TX,75063,CERTIFIED
52,17,2,2017,24,2,2017,H1B,CYPRESS SEMICONDUCTOR CORPORATION,CA,UNITED STATES OF AMERICA,ANALYSTS,334413.0,15,Y,148051.0,Year,Other,2017.0,RADFORD GLOBAL SURVEY,148051.0,0.0,Year,N,N,CA,95134,CERTIFIED
53,13,2,2017,17,2,2017,H1B,INFOSYS LIMITED,TX,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,62754.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,63012.0,0.0,Year,Y,N,TX,75081,CERTIFIED
54,22,3,2017,28,3,2017,H1B,ATIEVA USA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,541330.0,1,Y,113006.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,113006.0,0.0,Year,N,N,CA,94025,CERTIFIED
55,22,3,2017,28,3,2017,H1B,ENVIRTA TECHNOLOGIES LLC,VA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,66518.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,70000.0,0.0,Year,N,N,VA,22314,CERTIFIED
56,9,11,2016,16,11,2016,H1B,SYMANTEC CORPORATION,CA,UNITED STATES OF AMERICA,ENGINEERS,541511.0,1,Y,134971.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,141099.7,0.0,Year,N,N,CA,94043,CERTIFIED
57,14,6,2017,20,6,2017,H1B,SHUTTERFLY INC,CA,UNITED STATES OF AMERICA,EDUCATION,323111.0,1,Y,98987.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,106000.0,0.0,Year,N,N,CA,94065,CERTIFIED
58,10,1,2017,17,1,2017,H1B,INTERNATIONAL PAPER,TN,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,322121.0,1,Y,95805.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,98841.0,0.0,Year,N,N,TN,38197,CERTIFIED
59,3,3,2017,9,3,2017,H1B,LOGIC PLANET CS INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,52229.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,73000.0,0.0,Year,Y,N,CA,94043,CERTIFIED
60,7,3,2017,13,3,2017,H1B,DEEMSYS INC,OH,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,77210.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,80000.0,0.0,Year,Y,N,OH,43215,CERTIFIED
61,3,2,2017,9,2,2017,H1B,INTEL CORPORATION,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,3344.0,5,Y,95867.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,95867.0,166380.0,Year,N,N,OR,97124,CERTIFIED
62,25,10,2016,31,10,2016,H1B,QUALCOMM TECHNOLOGIES INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,334220.0,25,Y,93450.0,Year,Other,2016.0,RADFORD GLOBAL SURVEY,93450.0,122900.0,Year,Y,N,CA,95131,CERTIFIED
63,23,2,2017,1,3,2017,H1B,ERP ANALYSTS INC,OH,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541512.0,1,Y,77210.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,80000.0,0.0,Year,Y,N,OH,43017,CERTIFIED
64,18,10,2016,24,10,2016,H1B,ADVENTIST HEALTHCARE INC,MD,UNITED STATES OF AMERICA,ANALYSTS,622110.0,1,Y,37.82,Hour,Other,2016.0,OFLC ONLINE DATA CENTER,42.0,0.0,Hour,N,N,MD,20904,CERTIFIED
65,18,5,2017,24,5,2017,H1B,MEGAN SOFT INC,MI,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,29.01,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,32.0,0.0,Hour,Y,N,CO,80111,CERTIFIED
66,12,1,2017,19,1,2017,H1B,MASTECH DIGITAL TECHNOLOGIES INC A MASTECH DIGITAL INC COMPANY,PA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,6,Y,48.83,Hour,OES,2017.0,OFLC ONLINE DATA CENTER,48.83,0.0,Hour,Y,N,TX,75038,CERTIFIED
67,23,5,2017,30,5,2017,H1B,INDELAC CONTROLS INC,KY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,334513.0,1,Y,37523.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,37649.0,0.0,Year,N,N,KY,41042,CERTIFIED
68,7,3,2017,13,3,2017,H1B,CROSSBAR INC,CA,UNITED STATES OF AMERICA,ARCHITECTURE,541712.0,1,Y,108805.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,115000.0,0.0,Year,N,N,CA,95054,CERTIFIED
69,17,3,2017,23,3,2017,H1B,MCAFEE LLC,TX,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,561621.0,1,Y,95160.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,95160.0,125500.0,Year,N,N,TX,75024,CERTIFIED
70,30,11,2016,6,12,2016,H1B,APPLE INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334111.0,50,Y,155106.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,155106.0,0.0,Year,N,N,CA,95014,CERTIFIED
71,20,1,2017,26,1,2017,H1B,SYNTEL CONSULTING INC,MI,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,63710.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,65000.0,0.0,Year,Y,N,MA,2171,CERTIFIED
72,8,2,2017,14,2,2017,H1B,AIG TRAVEL ASSIST INC,NY,UNITED STATES OF AMERICA,ANALYSTS,5241.0,1,Y,54517.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,82000.0,0.0,Year,N,N,WI,54482,CERTIFIED
73,7,6,2017,13,6,2017,H1B,KBR INC,TX,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541330.0,1,Y,74048.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,94810.0,0.0,Year,N,N,TX,77002,CERTIFIED
74,15,6,2017,21,6,2017,H1B,MICROSOFT CORPORATION,WA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,51121.0,1,Y,106101.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,130000.0,0.0,Year,N,N,WA,98052,CERTIFIED
75,1,2,2017,7,2,2017,H1B,TWO SIGMA INVESTMENTS LP,NY,UNITED STATES OF AMERICA,HUMAN RESOURCES,523920.0,1,Y,136906.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,140000.0,0.0,Year,N,N,NY,10013,CERTIFIED
76,17,4,2017,21,4,2017,H1B,EXLSERVICECOM LLC,NY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541611.0,1,Y,86900.0,Year,Other,2016.0,US MERCER BENCHMARK DATABASE SURVEY,86900.0,111900.0,Year,N,N,NJ,7302,CERTIFIED
77,16,3,2017,22,3,2017,H1B,GCB SERVICES LLC,VA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,5179.0,1,Y,76814.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,77000.0,0.0,Year,N,N,VA,22102,CERTIFIED
78,7,4,2017,13,4,2017,H1B,OVE ARUP and PARTNERS PC,NY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541330.0,1,Y,84677.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,92400.0,0.0,Year,N,N,NY,10005,CERTIFIED
79,22,5,2017,26,5,2017,H1B,NORTON ROSE FULBRIGHT US LLP,NY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541110.0,1,Y,123552.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,201200.0,0.0,Year,N,N,NY,10019,CERTIFIED
80,30,9,2016,6,10,2016,H1B,MAYAN CAPITAL LLC,NY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,52399.0,1,Y,111405.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,115000.0,0.0,Year,N,N,NY,10022,CERTIFIED
81,3,3,2017,9,3,2017,H1B,VLINK INC,CT,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,44179.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,47300.0,0.0,Year,Y,N,CT,6074,CERTIFIED
82,19,5,2017,25,5,2017,H1B,BECTON DICKINSON AND COMPANY,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,339112.0,1,Y,141440.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,155000.0,0.0,Year,N,N,NJ,7417,CERTIFIED
83,17,2,2017,24,2,2017,H1B,UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,611310.0,1,Y,48006.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,76500.0,0.0,Year,N,N,CA,92093,CERTIFIED
84,19,6,2017,24,6,2017,H1B,HORIZON INTERNATIONAL TRADING INC,MA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,511210.0,1,N,32.88,Hour,OES,2017.0,OFLC ONLINE DATA CENTER,33.0,35.0,Hour,Y,N,MA,2478,CERTIFIED
85,10,1,2017,17,1,2017,H1B,ERNST and YOUNG US LLP,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541211.0,1,Y,62962.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,70000.0,0.0,Year,N,N,PA,19103,CERTIFIED
86,27,2,2017,3,3,2017,H1B,BIRLASOFT INC,NJ,UNITED STATES OF AMERICA,ACCOUNTANTS,541511.0,10,Y,60403.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,60403.0,0.0,Year,Y,N,OH,45242,CERTIFIED
87,16,3,2017,22,3,2017,H1B,COGENT INFOTECH CORPORATION,PA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,63357.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,70000.0,0.0,Year,Y,N,NJ,8540,CERTIFIED
88,16,11,2016,22,11,2016,H1B,ERNST andAMP YOUNG US LLP,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541211.0,1,Y,81869.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,100000.0,0.0,Year,N,N,PA,19103,CERTIFIED
89,17,3,2017,23,3,2017,H1B,MICROINFO INC,TX,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,55390.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,63000.0,0.0,Year,Y,N,GA,30269,CERTIFIED
90,16,3,2017,22,3,2017,H1B,GOOGLE INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541512.0,1,Y,124675.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,130000.0,0.0,Year,N,N,CA,94043,CERTIFIED
91,8,2,2017,14,2,2017,H1B,CAPGEMINI AMERICA INC,IL,UNITED STATES OF AMERICA,ANALYSTS,5416.0,1,Y,72654.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,72700.0,0.0,Year,Y,N,NC,28262,CERTIFIED
92,25,10,2016,31,10,2016,H1B,NESS USA INC,PA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,78603.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,78603.0,0.0,Year,Y,N,MA,2109,CERTIFIED
93,22,3,2017,28,3,2017,H1B,FMI MEDICAL SYSTEMS INC,OH,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,334517.0,1,Y,60050.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,73000.0,0.0,Year,N,N,OH,44139,CERTIFIED
